name,price,image,category,description,rating,reviews,inStock,stockQuantity
Essence Mascara Lash Princess,9.99,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp,beauty,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,2.56,"[""Would not recommend!"", ""Very satisfied!"", ""Highly impressed!""]",True,99
Eyeshadow Palette with Mirror,19.99,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp,beauty,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",2.86,"[""Great product!"", ""Awesome product!"", ""Poor quality!""]",True,34
Powder Canister,14.99,https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp,beauty,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",4.64,"[""Would buy again!"", ""Highly impressed!"", ""Very dissatisfied!""]",True,89
Red Lipstick,12.99,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp,beauty,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",4.36,"[""Great product!"", ""Great product!"", ""Would buy again!""]",True,91
Red Nail Polish,8.99,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp,beauty,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",4.32,"[""Poor quality!"", ""Great product!"", ""Very unhappy with my purchase!""]",True,79
Calvin Klein CK One,49.99,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp,fragrances,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",4.37,"[""Very disappointed!"", ""Fast shipping!"", ""Not as described!""]",True,29
Chanel Coco Noir Eau De,129.99,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp,fragrances,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",4.26,"[""Highly impressed!"", ""Awesome product!"", ""Very happy with my purchase!""]",True,58
Dior J'adore,89.99,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp,fragrances,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",3.8,"[""Great value for money!"", ""Great value for money!"", ""Great product!""]",True,98
Dolce Shine Eau de,69.99,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp,fragrances,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",3.96,"[""Would buy again!"", ""Highly recommended!"", ""Very happy with my purchase!""]",True,4
Gucci Bloom Eau de,79.99,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp,fragrances,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",2.74,"[""Very dissatisfied!"", ""Very happy with my purchase!"", ""Highly impressed!""]",True,91
Annibale Colombo Bed,1899.99,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp,furniture,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",4.77,"[""Would not recommend!"", ""Highly impressed!"", ""Poor quality!""]",True,88
Annibale Colombo Sofa,2499.99,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp,furniture,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",3.92,"[""Very unhappy with my purchase!"", ""Fast shipping!"", ""Poor quality!""]",True,60
Bedside Table African Cherry,299.99,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp,furniture,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",2.87,"[""Excellent quality!"", ""Excellent quality!"", ""Highly recommended!""]",True,64
Knoll Saarinen Executive Conference Chair,499.99,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp,furniture,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",4.88,"[""Waste of money!"", ""Very dissatisfied!"", ""Would buy again!""]",True,26
Wooden Bathroom Sink With Mirror,799.99,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp,furniture,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",3.59,"[""Fast shipping!"", ""Very pleased!"", ""Poor quality!""]",True,7
Apple,1.99,https://cdn.dummyjson.com/product-images/groceries/apple/1.webp,groceries,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",4.19,"[""Very satisfied!"", ""Very dissatisfied!"", ""Very unhappy with my purchase!""]",True,8
Beef Steak,12.99,https://cdn.dummyjson.com/product-images/groceries/beef-steak/1.webp,groceries,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",4.47,"[""Would not recommend!"", ""Fast shipping!"", ""Great value for money!""]",True,86
Cat Food,8.99,https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp,groceries,Nutritious cat food formulated to meet the dietary needs of your feline friend.,3.13,"[""Would not recommend!"", ""Very unhappy with my purchase!"", ""Very disappointed!""]",True,46
Chicken Meat,9.99,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/1.webp,groceries,"Fresh and tender chicken meat, suitable for various culinary preparations.",3.19,"[""Great product!"", ""Highly recommended!"", ""Not worth the price!""]",True,97
Cooking Oil,4.99,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp,groceries,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.8,"[""Very happy with my purchase!"", ""Would not recommend!"", ""Would buy again!""]",True,10
Cucumber,1.49,https://cdn.dummyjson.com/product-images/groceries/cucumber/1.webp,groceries,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",4.07,"[""Great product!"", ""Great value for money!"", ""Poor quality!""]",True,84
Dog Food,10.99,https://cdn.dummyjson.com/product-images/groceries/dog-food/1.webp,groceries,Specially formulated dog food designed to provide essential nutrients for your canine companion.,4.55,"[""Excellent quality!"", ""Awesome product!"", ""Great product!""]",True,71
Eggs,2.99,https://cdn.dummyjson.com/product-images/groceries/eggs/1.webp,groceries,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",2.53,"[""Disappointing product!"", ""Poor quality!"", ""Very pleased!""]",True,9
Fish Steak,14.99,https://cdn.dummyjson.com/product-images/groceries/fish-steak/1.webp,groceries,"Quality fish steak, suitable for grilling, baking, or pan-searing.",3.78,"[""Would not buy again!"", ""Excellent quality!"", ""Great value for money!""]",True,74
Green Bell Pepper,1.29,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp,groceries,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",3.25,"[""Highly recommended!"", ""Would not recommend!"", ""Excellent quality!""]",True,33
Green Chili Pepper,0.99,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/1.webp,groceries,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",3.66,"[""Great product!"", ""Waste of money!"", ""Very disappointed!""]",True,3
Honey Jar,6.99,https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp,groceries,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",3.97,"[""Very disappointed!"", ""Highly impressed!"", ""Very disappointed!""]",True,34
Ice Cream,5.49,https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp,groceries,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",3.39,"[""Very pleased!"", ""Excellent quality!"", ""Highly impressed!""]",True,27
Juice,3.99,https://cdn.dummyjson.com/product-images/groceries/juice/1.webp,groceries,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",3.94,"[""Excellent quality!"", ""Would buy again!"", ""Awesome product!""]",True,50
Kiwi,2.49,https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp,groceries,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",4.93,"[""Highly recommended!"", ""Would not buy again!"", ""Fast shipping!""]",True,99
Lemon,0.79,https://cdn.dummyjson.com/product-images/groceries/lemon/1.webp,groceries,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",3.53,"[""Awesome product!"", ""Highly impressed!"", ""Very satisfied!""]",True,31
Milk,3.49,https://cdn.dummyjson.com/product-images/groceries/milk/1.webp,groceries,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",2.61,"[""Very satisfied!"", ""Would not buy again!"", ""Great value for money!""]",True,27
Mulberry,4.99,https://cdn.dummyjson.com/product-images/groceries/mulberry/1.webp,groceries,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",4.95,"[""Fast shipping!"", ""Not worth the price!"", ""Would not buy again!""]",True,99
Nescafe Coffee,7.99,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/1.webp,groceries,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",4.82,"[""Very pleased!"", ""Highly recommended!"", ""Would buy again!""]",True,57
Potatoes,2.29,https://cdn.dummyjson.com/product-images/groceries/potatoes/1.webp,groceries,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",4.81,"[""Highly impressed!"", ""Fast shipping!"", ""Highly recommended!""]",True,13
Protein Powder,19.99,https://cdn.dummyjson.com/product-images/groceries/protein-powder/1.webp,groceries,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",4.18,"[""Very unhappy with my purchase!"", ""Would buy again!"", ""Very happy with my purchase!""]",True,80
Red Onions,1.99,https://cdn.dummyjson.com/product-images/groceries/red-onions/1.webp,groceries,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",4.2,"[""Fast shipping!"", ""Very dissatisfied!"", ""Awesome product!""]",True,82
Rice,5.99,https://cdn.dummyjson.com/product-images/groceries/rice/1.webp,groceries,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",3.18,"[""Would buy again!"", ""Very satisfied!"", ""Very disappointed!""]",True,59
Soft Drinks,1.99,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/1.webp,groceries,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",4.75,"[""Would not recommend!"", ""Would not recommend!"", ""Highly recommended!""]",True,53
Strawberry,3.99,https://cdn.dummyjson.com/product-images/groceries/strawberry/1.webp,groceries,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",3.08,"[""Would not buy again!"", ""Would not buy again!"", ""Would buy again!""]",True,46
Tissue Paper Box,2.49,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/1.webp,groceries,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",2.69,"[""Not as described!"", ""Fast shipping!"", ""Great value for money!""]",True,86
Water,0.99,https://cdn.dummyjson.com/product-images/groceries/water/1.webp,groceries,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",4.96,"[""Highly impressed!"", ""Would not recommend!"", ""Not as described!""]",True,53
Decoration Swing,59.99,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/1.webp,home-decoration,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",3.16,"[""Would not buy again!"", ""Poor quality!"", ""Very unhappy with my purchase!""]",True,47
Family Tree Photo Frame,29.99,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/1.webp,home-decoration,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",4.53,"[""Highly impressed!"", ""Excellent quality!"", ""Very dissatisfied!""]",True,77
House Showpiece Plant,39.99,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/1.webp,home-decoration,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,4.67,"[""Very happy with my purchase!"", ""Poor quality!"", ""Very pleased!""]",True,28
Plant Pot,14.99,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/1.webp,home-decoration,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",3.01,"[""Fast shipping!"", ""Very satisfied!"", ""Poor quality!""]",True,59
Table Lamp,49.99,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/1.webp,home-decoration,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",3.55,"[""Excellent quality!"", ""Would not recommend!"", ""Awesome product!""]",True,9
Bamboo Spatula,7.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/1.webp,kitchen-accessories,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",3.27,"[""Awesome product!"", ""Highly recommended!"", ""Highly recommended!""]",True,37
Black Aluminium Cup,5.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/1.webp,kitchen-accessories,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,4.46,"[""Very disappointed!"", ""Great value for money!"", ""Not worth the price!""]",True,75
Black Whisk,9.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/1.webp,kitchen-accessories,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,3.9,"[""Not worth the price!"", ""Waste of money!"", ""Very pleased!""]",True,73
Boxed Blender,39.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/1.webp,kitchen-accessories,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",4.56,"[""Very pleased!"", ""Would buy again!"", ""Very happy with my purchase!""]",True,9
Carbon Steel Wok,29.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/1.webp,kitchen-accessories,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",4.05,"[""Excellent quality!"", ""Highly impressed!"", ""Very satisfied!""]",True,40
Chopping Board,12.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/1.webp,kitchen-accessories,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",3.7,"[""Great value for money!"", ""Great value for money!"", ""Fast shipping!""]",True,14
Citrus Squeezer Yellow,8.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/1.webp,kitchen-accessories,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,4.63,"[""Highly recommended!"", ""Great product!"", ""Highly impressed!""]",True,22
Egg Slicer,6.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/1.webp,kitchen-accessories,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",3.09,"[""Very dissatisfied!"", ""Very happy with my purchase!"", ""Not worth the price!""]",True,40
Electric Stove,49.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/1.webp,kitchen-accessories,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,4.11,"[""Would not recommend!"", ""Very dissatisfied!"", ""Very pleased!""]",True,21
Fine Mesh Strainer,9.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/1.webp,kitchen-accessories,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,3.04,"[""Very pleased!"", ""Highly impressed!"", ""Would not recommend!""]",True,85
Fork,3.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/1.webp,kitchen-accessories,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,3.11,"[""Highly impressed!"", ""Very satisfied!"", ""Would not buy again!""]",True,7
Glass,4.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/1.webp,kitchen-accessories,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,4.02,"[""Very happy with my purchase!"", ""Waste of money!"", ""Very satisfied!""]",True,46
Grater Black,10.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/1.webp,kitchen-accessories,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",3.21,"[""Would not buy again!"", ""Not as described!"", ""Highly impressed!""]",True,84
Hand Blender,34.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/1.webp,kitchen-accessories,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",3.86,"[""Excellent quality!"", ""Highly impressed!"", ""Would not buy again!""]",True,84
Ice Cube Tray,5.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/1.webp,kitchen-accessories,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,4.71,"[""Awesome product!"", ""Would buy again!"", ""Very pleased!""]",True,13
Kitchen Sieve,7.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/1.webp,kitchen-accessories,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,3.09,"[""Highly recommended!"", ""Very happy with my purchase!"", ""Awesome product!""]",True,68
Knife,14.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/1.webp,kitchen-accessories,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",3.26,"[""Very disappointed!"", ""Fast shipping!"", ""Very pleased!""]",True,7
Lunch Box,12.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/1.webp,kitchen-accessories,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",4.93,"[""Very pleased!"", ""Very happy with my purchase!"", ""Poor quality!""]",True,94
Microwave Oven,89.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/1.webp,kitchen-accessories,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",4.82,"[""Very dissatisfied!"", ""Fast shipping!"", ""Very disappointed!""]",True,59
Mug Tree Stand,15.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/1.webp,kitchen-accessories,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,2.64,"[""Very unhappy with my purchase!"", ""Highly recommended!"", ""Fast shipping!""]",True,88
Pan,24.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/1.webp,kitchen-accessories,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",2.79,"[""Highly impressed!"", ""Highly recommended!"", ""Not as described!""]",True,90
Plate,3.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/1.webp,kitchen-accessories,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,3.65,"[""Disappointing product!"", ""Great product!"", ""Excellent quality!""]",True,66
Red Tongs,6.99,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/1.webp,kitchen-accessories,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,4.42,"[""Very satisfied!"", ""Highly recommended!"", ""Excellent quality!""]",True,82
